levels,themes,formats,teams_l,teams_r,scores_l,scores_r,times
A级,OFF//SEASON 2023: AVL邀请赛,(BO3),EDG,FCY,2,1,2023/12/08 17:45
A级,OFF//SEASON 2023: AVL邀请赛,(BO3),EDG,T1,0,2,2023/12/06 18:10
B级,CN ES 2023: 第三幕 共生CN赛区 进化者系列公开赛,(BO5),EDG,RA,3,0,2023/11/26 17:00
B级,CN ES 2023: 第三幕 共生CN赛区 进化者系列公开赛,(BO5),EDG,FPX,3,1,2023/11/25 17:00
B级,CN ES 2023: 第三幕 共生CN赛区 进化者系列公开赛,(BO3),EDG,RA,0,2,2023/11/24 17:00
B级,CN ES 2023: 第三幕 共生CN赛区 进化者系列公开赛,(BO3),EDG,ASE,2,1,2023/11/21 19:30
B级,CN ES 2023: 第三幕 共生CN赛区 进化者系列公开赛,(BO3),EDG,TES,2,0,2023/11/18 20:00
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO5),EDG,TE,3,0,2023/10/29 17:00
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO5),EDG,RA,3,1,2023/10/28 17:00
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO3),EDG,TE,0,2,2023/10/27 17:00
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO3),EDG,RA,2,0,2023/10/26 20:45
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO3),EDG,BLG,2,0,2023/10/22 17:00
B级,CN ES 2023: 第二幕 淬炼CN赛区 进化者系列公开赛,(BO3),EDG,RNG,2,0,2023/10/20 20:00
A级,OFF//SEASON 2023: TEN国际邀请赛,(BO3),EDG,DRX,1,2,2023/10/08 14:00
A级,OFF//SEASON 2023: TEN国际邀请赛,(BO1),EDG,C9,0,1,2023/10/07 19:30
A级,OFF//SEASON 2023: TEN国际邀请赛,(BO1),EDG,T1,1,0,2023/10/07 14:30
A级,OFF//SEASON 2023: TEN国际邀请赛,(BO1),EDG,DRX,1,0,2023/10/07 13:00
